Mods count: 364
 
jar name                                                                           | mod id (isMCreator)                           | mixin configs
    /META-INF/jarjar/fabric-resource-loader-v0-0.11.12+4b4151c077.jar              | fabric_resource_loader_v0                     | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jarjar/fabric-resource-conditions-api-v1-2.3.9+996d00b277.jar        | fabric_resource_conditions_api_v1             | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-v1-3.0.9+66e9a48f77.jar                      | fabric_rendering_v1                           | fabric-rendering-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-fluids-v1-3.0.29+4ac5e37a77.jar              | fabric_rendering_fluids_v1                    | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.39+a6081afc77.jar     | fabric_rendering_data_attachment_v1           | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jarjar/fabric-renderer-indigo-1.5.3+b5b2da4177.jar                   | fabric_renderer_indigo                        | fabric-renderer-indigo.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.2.2+cf68abbe77.jar                   | fabric_renderer_api_v1                        | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-registry-sync-v0-2.3.6+1c0ea72177.jar                  | fabric_registry_sync_v0                       | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jarjar/fabric-recipe-api-v1-1.0.24+514a076577.jar                    | fabric_recipe_api_v1                          | fabric-recipe-api-v1.mixins.json
    /META-INF/jarjar/fabric-particles-v1-1.1.3+78e1ecb877.jar                      | fabric_particles_v1                           | fabric-particles-v1.client.mixins.json
    /META-INF/jarjar/fabric-object-builder-api-v1-11.1.5+f8c414ce77.jar            | fabric_object_builder_api_v1                  | fabric-object-builder-v1.mixins.json
    /META-INF/jarjar/fabric-networking-api-v1-1.3.14+fb7c822677.jar                | fabric_networking_api_v1                      | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jarjar/fabric-models-v0-0.4.3+7c3892a477.jar                         | fabric_models_v0                              | 
    /META-INF/jarjar/fabric-model-loading-api-v1-1.0.4+6274ab9d77.jar              | fabric_model_loading_api_v1                   | fabric-model-loading-api-v1.mixins.json
    /META-INF/jarjar/fabric-mining-level-api-v1-2.1.52+561530ec77.jar              | fabric_mining_level_api_v1                    | fabric-mining-level-api-v1.mixins.json
    /META-INF/jarjar/fabric-message-api-v1-5.1.10+52cc178c77.jar                   | fabric_message_api_v1                         | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jarjar/fabric-loot-api-v2-1.2.3+eb28f93e77.jar                       | fabric_loot_api_v2                            | fabric-loot-api-v2.mixins.json
    /META-INF/jarjar/fabric-loader-2.6.0+0.15.0+1.20.1-full.jar                    |                                               | 
    /META-INF/jarjar/fabric-lifecycle-events-v1-2.2.23+afab492177.jar              | fabric_lifecycle_events_v1                    | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jarjar/fabric-key-binding-api-v1-1.0.38+561530ec77.jar               | fabric_key_binding_api_v1                     | fabric-key-binding-api-v1.mixins.json
    /META-INF/jarjar/fabric-item-group-api-v1-4.0.14+c9161c2d77.jar                | fabric_item_group_api_v1                      | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jarjar/fabric-item-api-v1-2.1.29+4d0bbcfa77.jar                      | fabric_item_api_v1                            | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jarjar/fabric-game-rule-api-v1-1.0.41+683d4da877.jar                 | fabric_game_rule_api_v1                       | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jarjar/fabric-events-interaction-v0-0.6.5+0f26153f77.jar             | fabric_events_interaction_v0                  | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jarjar/fabric-entity-events-v1-1.6.1+4ca7515277.jar                  | fabric_entity_events_v1                       | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jarjar/fabric-dimensions-v1-2.1.55+8005d10d77.jar                    | fabric_dimensions_v1                          | 
    /META-INF/jarjar/fabric-data-generation-api-v1-12.3.7+369cb3a477.jar           | fabric_data_generation_api_v1                 | fabric-data-generation-api-v1.mixins.json
    /META-INF/jarjar/fabric-data-attachment-api-v1-1.0.2+30ef839e77.jar            | fabric_data_attachment_api_v1                 | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jarjar/fabric-convention-tags-v1-1.5.6+fa3d1c0177.jar                | fabric_convention_tags_v1                     | 
    /META-INF/jarjar/fabric-content-registries-v0-4.0.13+a670df1e77.jar            | fabric_content_registries_v0                  | fabric-content-registries-v0.mixins.json
    /META-INF/jarjar/fabric-command-api-v2-2.2.14+561530ec77.jar                   | fabric_command_api_v2                         | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jarjar/fabric-command-api-v1-1.2.35+f71b366f77.jar                   | fabric_command_api_v1                         | 
    /META-INF/jarjar/fabric-client-tags-api-v1-1.1.3+5d6761b877.jar                | fabric_client_tags_api_v1                     | 
    /META-INF/jarjar/fabric-blockrenderlayer-v1-1.1.42+1d0da21e77.jar              | fabric_blockrenderlayer_v1                    | fabric-blockrenderlayer-v1.mixins.json
